,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
1936,WebMD,880576623690625029,5:00 PM - 29 Jun 2017,"True or false: When you're suddenly very tired, it can be a sign of dehydration. http://wb.md/2ttqMb6 pic.twitter.com/xm5UvzK8SR",120,47,8,https://pbs.twimg.com/media/DDhvxRiXkAAld2z.jpg,,
1937,WebMD,880561524347203584,4:00 PM - 29 Jun 2017,Waking up once a night to go to the bathroom isn’t usually a big deal – how to know when it’s time to see a doctor: http://wb.md/2u2XdKS pic.twitter.com/IZ91D3ZSYa,34,12,0,https://pbs.twimg.com/media/DDhiCcsXgAALJpa.jpg,,
1938,WebMD,880546425393643520,3:00 PM - 29 Jun 2017,Many people have lupus for years before developing tell-tale symptoms. What to know: http://wb.md/2ttwE4m pic.twitter.com/U41Y99SxiB,35,31,0,https://pbs.twimg.com/media/DDhUTgmXkAA25cF.jpg,,
1939,WebMD,880531324359983104,2:00 PM - 29 Jun 2017,Did you know your nails can reveal clues to your overall health? What to know:  http://wb.md/2u2wEVT pic.twitter.com/p37yNXj1dP,47,33,1,https://pbs.twimg.com/media/DDhGkhxWAAAJuzj.jpg,,
1940,WebMD,880516228757938176,1:00 PM - 29 Jun 2017,"People with which blood type are more likely to have memory problems: A, B or AB?
 http://wb.md/2ttdPy4 pic.twitter.com/AY3FpUdArN",32,14,2,https://pbs.twimg.com/media/DDg413jXcAAy4nf.jpg,,
1941,WebMD,880501127833419776,12:00 PM - 29 Jun 2017,Extremely high triglyceride levels can make your skin break out in a yellow-orange bumpy rash around your knuckles. http://wb.md/2ttzBlt pic.twitter.com/HNvZivzuHD,35,26,3,https://pbs.twimg.com/media/DDgrGzbWsAUHAfU.jpg,,
1942,WebMD,880486026770296834,11:00 AM - 29 Jun 2017,Staph bacteria can live in seawater for several days and reproduce in the sand. How to protect yourself: http://wb.md/2ttNVdP pic.twitter.com/SP71m5e7aQ,36,29,0,https://pbs.twimg.com/media/DDgdX4gXUAEFuOZ.jpg,,
1943,WebMD,880470928983023616,10:00 AM - 29 Jun 2017,"Walking in flimsy shoes without sufficient arch support, can overstretch, tear, or inflame your plantar fascia. http://wb.md/2ttaOxR pic.twitter.com/dEW0CHqMcF",83,77,2,https://pbs.twimg.com/media/DDgPpBrXcAAsLd0.jpg,,
1944,WebMD,880456248235315201,9:01 AM - 29 Jun 2017,¿Puede la clara de huevo ayudar a sanar una quemadura leve? El @drjuanjr explica remedios caseros. #MyAbuelitaToldMe http://wb.md/2u2rBVx pic.twitter.com/PN8rGgvq0F,11,9,0,,,"['PlayableMedia', 'PlayableMedia--video']"
1945,WebMD,880447522350739456,8:27 AM - 29 Jun 2017,Most roundworms infect your intestines. But the one that causes trichinosis also affects your muscles. What to know: http://wb.md/2u2KSX0 pic.twitter.com/HNSEl4JKBi,33,12,4,https://pbs.twimg.com/media/DDf6WngW0AAZ4lw.jpg,,
1946,WebMD,880442109014278144,8:05 AM - 29 Jun 2017,"Sweet cherries, sour cherries and dried cherries -- they’re all packed w/ an antioxidants called anthocyanins. More: http://wb.md/2ttG3sx pic.twitter.com/lZe14q1UP6",91,40,1,https://pbs.twimg.com/media/DDf1bgfWAAA_KbP.jpg,,
1947,WebMD,880432324730605568,7:26 AM - 29 Jun 2017,111 terminally ill people have taken their own lives under California's right-to-die law. http://wb.md/2tthWKM pic.twitter.com/4B4MjNZS3b,25,12,4,https://pbs.twimg.com/media/DDfsiByXcAAw3tv.jpg,,
1948,WebMD,880410528312684545,6:00 AM - 29 Jun 2017,"The most common cause of heel pain is plantar fasciitis, inflammation where the ligament attaches to the heel bone. http://www.webmd.com/diabetes/ss/slideshow-what-your-feet-say …pic.twitter.com/bZaPa0RiKz",61,64,1,https://pbs.twimg.com/media/DDfYtVTWsAAv1eP.jpg,,
1949,WebMD,880395430928027652,5:00 AM - 29 Jun 2017,"Odds of preeclampsia dropped 62% for high-risk women who took a daily pill, a new study finds. http://wb.md/2tqmh1l pic.twitter.com/EJMeHXCAvN",28,23,0,https://pbs.twimg.com/media/DDfK-d4XYAA4rgh.jpg,,
1950,WebMD,880380329185431555,4:00 AM - 29 Jun 2017,"If you have a chronic lack of B12, your body can't make the red blood cells that it needs, which can lead to anemia. http://wb.md/2tpR129 pic.twitter.com/vrlIxyror1",68,50,0,https://pbs.twimg.com/media/DDe9PfKXgAAsynh.jpg,,
1951,WebMD,880357679688024064,2:30 AM - 29 Jun 2017,Gaslighting is a type of emotional abuse where someone purposefully tries to get you to doubt your own sanity. http://wb.md/2tYSGsC pic.twitter.com/mYZoXCxiTl,85,60,7,https://pbs.twimg.com/media/DDeopImXkAATHP0.jpg,,
1952,WebMD,880297282171793408,10:30 PM - 28 Jun 2017,"The brain-eating amoeba lives in warm freshwater, and it enters the body through the nose. What to know: http://wb.md/2tyzrWQ pic.twitter.com/Dkfq4SISvt",32,29,4,https://pbs.twimg.com/media/DDdxtfiXYAQzUE5.png,,
1953,WebMD,880282181674967042,9:30 PM - 28 Jun 2017,"Your gallbladder is a small organ that sits on the right side of your belly, below the liver. Learn more: http://wb.md/2tY8RGF pic.twitter.com/tsFThFtP5C",116,69,1,https://pbs.twimg.com/media/DDdj-l1XoAAJ6-P.jpg,,
1954,WebMD,880251983495659520,7:30 PM - 28 Jun 2017,Stress and anxiety are not the same thing. What you should know: http://wb.md/2tYL5dQ pic.twitter.com/RwgJXHbNXm,103,81,0,https://pbs.twimg.com/media/DDdIgwZW0AI8M2k.png,,
1955,WebMD,880236884517154816,6:30 PM - 28 Jun 2017,"Nuts are an excellent way to curb hunger between meals. They're high in protein, fiber & heart-healthy fats. More: http://wb.md/2toLqJz pic.twitter.com/EvYJiqhs8x",209,112,2,https://pbs.twimg.com/media/DDc6x6mXkAAnKpx.jpg,,
1956,WebMD,880221981924352000,5:30 PM - 28 Jun 2017,"Bone pain and muscle weakness can mean you're low on vitamin D, but the symptoms can be subtle. More info:pic.twitter.com/adrYzp7LnV",193,154,5,,,"['PlayableMedia', 'PlayableMedia--video']"
1957,WebMD,880199134627504128,4:00 PM - 28 Jun 2017,More than 5.5 million American women have symptoms of endometriosis. What you should know: http://wb.md/2tZ3LKp pic.twitter.com/gVA9Xhvaz8,48,40,3,https://pbs.twimg.com/media/DDcYcmOXcAAmJHv.jpg,,
1958,WebMD,880184037616345088,3:00 PM - 28 Jun 2017,Migraine is more than just a bad headache. Get customized tips and treatment options specifically for you: http://wb.md/2tYoFZX pic.twitter.com/rptw7QIzh0,45,33,1,https://pbs.twimg.com/media/DDcKtzJXcAAS3jD.jpg,,
1959,WebMD,880168937220169728,2:00 PM - 28 Jun 2017,Could you recognize the signs of heat exhaustion and heat stroke? Important info to share with friends and family: http://wb.md/2tZDs6W pic.twitter.com/dpBwUIGAdf,85,89,2,https://pbs.twimg.com/media/DDb8-5dWAAAyVL-.jpg,,
1960,WebMD,880153836710760448,1:00 PM - 28 Jun 2017,"Doctors often prescribe these antibiotics, but they can cause serious side effects. What you should know: http://wb.md/2seRAIf pic.twitter.com/dnJWBkY7Wn",39,32,0,https://pbs.twimg.com/media/DDbvP39XcAAc_WB.jpg,,
1961,WebMD,880146285197766657,12:30 PM - 28 Jun 2017,Migraine symptoms include throbbing pain on one side of the head -- but it can also impact other parts of your body. http://wb.md/2tpNgtC pic.twitter.com/Yz5C7WOfqK,57,44,0,https://pbs.twimg.com/media/DDboYX2XUAMQ4FU.jpg,,
1962,WebMD,880138919303688192,12:00 PM - 28 Jun 2017,Craving the buttery taste of an avocado? Here's how to pick just the right one: http://wb.md/2tq1Zoi pic.twitter.com/Qf40wkF2UL,145,74,4,,,"['PlayableMedia', 'PlayableMedia--video']"
1963,WebMD,880123635960356867,11:00 AM - 28 Jun 2017,"RECALL ALERT: These fireworks sold at Walmart, Target, and other stores could explode unexpectedly after being lit. http://wb.md/2tpyGlY pic.twitter.com/vKRNeg49f3",32,74,7,https://pbs.twimg.com/media/DDbTyCuXoAon9xn.jpg,,
1964,WebMD,880108537178968065,10:00 AM - 28 Jun 2017,Could a pain-free flu vaccine patch replace the flu shot? Researchers say early results look promising. http://wb.md/2tYhtwU pic.twitter.com/KrfM3QNkNj,47,29,1,https://pbs.twimg.com/media/DDbGDLCWAAEJPeI.jpg,,
1965,WebMD,880093439681077248,9:00 AM - 28 Jun 2017,A diagonal crease in your lobe may be a sign of heart disease. What you should know: http://wb.md/2sZ4VIF pic.twitter.com/3fWMo4m5gT,36,25,0,https://pbs.twimg.com/media/DDa4UQ-XUAAGfRu.jpg,,
1966,WebMD,880065256336306176,7:08 AM - 28 Jun 2017,Two new cases of the plague have been confirmed in New Mexico. What you should know about the disease: http://wb.md/2tXIJM3 pic.twitter.com/dqhNO5fvFI,37,55,2,https://pbs.twimg.com/media/DDaertYXcAEd3vy.jpg,,
1967,WebMD,880041747706990592,5:34 AM - 28 Jun 2017,Fruit is packed with fiber and other nutrients -- but can also sneak in a surprising amount of sugar. Learn more: http://wb.md/2tohhtN pic.twitter.com/tHq1rZ5qqn,86,39,2,https://pbs.twimg.com/media/DDaJTdJXgAEGHLJ.jpg,,
1968,WebMD,880017942771060737,4:00 AM - 28 Jun 2017,A new study says working the late shift may impair your body's ability to repair everyday damage to cells' DNA. http://wb.md/2tlh7n4 pic.twitter.com/IUEr0d5UM2,77,66,4,https://pbs.twimg.com/media/DDZzpwuWsAAclYV.jpg,,
1969,WebMD,879995293399384064,2:30 AM - 28 Jun 2017,"Which food is better for fending off hunger: eggs, cereal or fruit? http://wb.md/2tiJLoQ pic.twitter.com/SBZJCl5Mi7",93,56,19,https://pbs.twimg.com/media/DDZfDbQXgAAgtKA.jpg,,
1970,WebMD,879919794685870080,9:30 PM - 27 Jun 2017,"Anyone can get IBS, but the condition is twice as common in women as in men. What you need to know: http://wb.md/2tRQ1kt pic.twitter.com/hzcI9AgnD6",55,30,0,https://pbs.twimg.com/media/DDYaY2uXoAEzICP.jpg,,
