,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
1929,ClevelandClinic,868411461428813824,3:20 AM - 27 May 2017,How to handle those pesky skin tags: http://cle.clinic/2oXTtqT pic.twitter.com/HqL5aB8Sft,40,22,1,https://pbs.twimg.com/media/DAyvrouVoAAw24q.jpg,,
1930,ClevelandClinic,868310545228861441,8:39 PM - 26 May 2017,Research shows the protein-sparing modified fast diet can be used for long-term weight loss http://cle.clinic/2noyDQK pic.twitter.com/l12K82VkVk,117,75,1,https://pbs.twimg.com/media/DAyMEdXUIAEHRfM.jpg,,
1931,ClevelandClinic,868302741931741184,8:08 PM - 26 May 2017,Ever noticed tiny white bumps on your skin? Leave them alone! Here's why: http://cle.clinic/2nmQBqR pic.twitter.com/kzLvq8w93S,69,44,0,https://pbs.twimg.com/media/DAyuDphUMAEPKXN.jpg,,
1932,ClevelandClinic,868288147960061952,7:10 PM - 26 May 2017,Read this if you're a snorer (or if one keeps you awake). http://cle.clinic/2rqACtn pic.twitter.com/jnxjsrIdLm,45,29,0,https://pbs.twimg.com/media/DAymCMEV0AAJRQu.jpg,,
1933,ClevelandClinic,868261974362247168,5:26 PM - 26 May 2017,Six dietitians name their favorite sources of protein: http://cle.clinic/2oDa1rT pic.twitter.com/QBJohHvUF0,80,56,4,https://pbs.twimg.com/media/DAytcMCV0AAbzBS.jpg,,
1934,ClevelandClinic,868253920010788864,4:54 PM - 26 May 2017,Six ways alcohol affects your health — not just your liver http://cle.clinic/2qipK07 pic.twitter.com/bTf3k2AFqU,63,48,2,https://pbs.twimg.com/media/DAyoGU5VwAAiIGH.jpg,,
1935,ClevelandClinic,868240835464224768,4:02 PM - 26 May 2017,RT us your questions about #breastcancer and @jamecancerdoc will answer LIVE on Facebook this Tuesday @ 11:30 am EST.pic.twitter.com/rdnhdmvYgK,22,12,3,https://pbs.twimg.com/media/DAyW_eyVwAAAmMV.jpg,,
1936,ClevelandClinic,868236808638746625,3:46 PM - 26 May 2017,"To help alleviate your creaky knees and soothe the discomfort, try this: http://cle.clinic/2oy64Rl pic.twitter.com/7XjJIwEDSS",73,47,2,https://pbs.twimg.com/media/DAyYLJ7V0AAnNG8.jpg,,
1937,ClevelandClinic,868210391720919040,2:01 PM - 26 May 2017,Shopping for new #running shoes this weekend? Listen to these tips from podiatrist Joy Rowland to protect your feet from injurypic.twitter.com/Xt4f3twnOS,115,92,1,,,"['PlayableMedia', 'PlayableMedia--video']"
1938,ClevelandClinic,868200846529634304,1:23 PM - 26 May 2017,7T imaging is allowing neuroscience researchers to see clearer than ever: http://cle.clinic/2oxtEx2 pic.twitter.com/ZBv5IOpZri,61,26,1,https://pbs.twimg.com/media/DAx4ECJVYAIvbcx.jpg,,
1939,ClevelandClinic,868181442676760576,12:06 PM - 26 May 2017,Work these veggies into your diet for better heart health:http://cle.clinic/2pSDPAp,104,62,0,,https://t.co/CpHOkzP11S,
1940,ClevelandClinic,868164844582715393,11:00 AM - 26 May 2017,Ohio at center of #opioidcrisis - #Cleveland forum looks at ways to end the epidemic http://via.fox8.com/cKjvJ  via @fox8news #CCCHF,17,16,2,,https://t.co/fTZKqufp8M,
1941,ClevelandClinic,868150121594277888,10:01 AM - 26 May 2017,Discover how our bodies make sweat and why some of us do it more than others. http://cle.clinic/2p7lV8T pic.twitter.com/ZrpznIDFEf,43,35,2,https://pbs.twimg.com/media/DAxJ23EW0AAH1Ax.jpg,,
1942,ClevelandClinic,868135718559907840,9:04 AM - 26 May 2017,Amazing young #patient inspires #marrowdonors:  http://cle.clinic/2qWL0b7  via @wkyc,24,14,0,,https://t.co/3oON9ZgzfF,
1943,ClevelandClinic,868135400048476160,9:03 AM - 26 May 2017,Today is #DontFryDay. Don’t forget those 'easy to miss' places when applying sunscreen http://cle.clinic/2rldnB3 pic.twitter.com/Hrnm8DvD8L,25,23,0,,,"['PlayableMedia', 'PlayableMedia--video']"
1944,ClevelandClinic,868110300196864002,7:23 AM - 26 May 2017,Congrats to our @NBA Eastern Conference champs — the @Cavs! #DefendtheLandpic.twitter.com/5xGtvq3rju,114,34,2,https://pbs.twimg.com/media/DAwlp3JXkAAJolQ.jpg,,
1945,ClevelandClinic,868105193568837632,7:03 AM - 26 May 2017,"Are any hot dogs ""healthy"" hot dogs? @KristinKirkpat provides some answers:http://bit.ly/2qTpmo4",37,20,0,,https://t.co/gwiypXsUrP,
1946,ClevelandClinic,868049070992109568,3:20 AM - 26 May 2017,This is why you should add lemon to your water  http://cle.clinic/2nG5C2q  @RoxanneSukolMD,264,197,8,,https://t.co/Z5qduOyPOP,
1947,ClevelandClinic,867962499936780288,9:36 PM - 25 May 2017,Do you wake up from a painful charley horse in the middle of the night? How to stop it: http://cle.clinic/2pDWP2V pic.twitter.com/haooH60flz,75,52,0,https://pbs.twimg.com/media/DAuKV_QXYAE25gr.jpg,,
1948,ClevelandClinic,867949415096434690,8:44 PM - 25 May 2017,A new study of wine experts finds enhanced brain areas associated with smell and memory: http://cle.clinic/2r1RwvD pic.twitter.com/pOOECujxFq,48,34,2,https://pbs.twimg.com/media/DAtw_y0XUAA9jjL.jpg,,
1949,ClevelandClinic,867940354590244864,8:08 PM - 25 May 2017,"ICYMI: Watch @TobyCosgroveMD, @vivek_murthy and Chuck Rosenberg @DEAHQ discuss the nation's #opioid epidemic. http://cle.clinic/2r37DL5 
#CCCHF",15,9,1,,,
1950,ClevelandClinic,867927728070115328,7:17 PM - 25 May 2017,Thanks for sharing your experience. Pls send us a direct message so we can put you in direct contact with the appropriate caregivers.,0,0,0,,,
1951,ClevelandClinic,867925758064414720,7:10 PM - 25 May 2017,Our dietitians picked 7 snacks they would NEVER eat. Did your favorite make the list? http://cle.clinic/2ocqRts pic.twitter.com/5MPdXsGncc,145,118,8,https://pbs.twimg.com/media/DAt9OElVYAA0NvY.jpg,,
1952,ClevelandClinic,867913174883815424,6:20 PM - 25 May 2017,"100 lb #weightloss win for Spanish @cavs announcer @ElalcaldeRafa thanks to #lifestylechange
http://bit.ly/2r0mlTd  via @CrainsCleveland",43,10,0,,,
1953,ClevelandClinic,867893067319095296,5:00 PM - 25 May 2017,May is #Brain Tumor Awareness Month. Learn how a special mask helped one woman avoid surgery to stop her brain tumor http://cle.clinic/2qXbNSK pic.twitter.com/DgLBsb10tq,58,47,1,,,"['PlayableMedia', 'PlayableMedia--video']"
1954,CleClinicMD,867879522535956480,4:06 PM - 25 May 2017,"""We need to change the culture. We aren't going to be able to enforce our way out of this epidemic."" Chuck Rosenberg #CCCHF",45,19,0,,,
1955,ClevelandClinic,867879609827766272,4:06 PM - 25 May 2017,What will change the country is your response to it - @vivek_murthy #CCCHF,24,10,1,,,
1956,ClevelandClinic,867876751954890753,3:55 PM - 25 May 2017,We are taking bold moves and we do random drug testing for all employees - @TobyCosgroveMD #CCCHF,44,11,5,,,
1957,ClevelandClinic,867874800395595777,3:47 PM - 25 May 2017,1 in 200 children are born with symptoms of #opioid withdrawal. #CCCHFhttp://cle.clinic/2qoRqMo,51,68,2,,https://t.co/r7Zt5SHl5b,
1958,ClevelandClinic,867874420672647168,3:46 PM - 25 May 2017,"5 clues to tell if you're becoming addicted to #opioids: http://cle.clinic/2rEkAf7 
#CCCHFpic.twitter.com/eHrsyPqn1n",25,32,1,https://pbs.twimg.com/media/DAsahNXXoAEvgpB.jpg,,
1959,ClevelandClinic,867873978500743168,3:44 PM - 25 May 2017,"As a parent, take action, talk to your kids early & expose to educational resources - @vivek_murthy #CCCHF",25,4,0,,,
1960,ClevelandClinic,867870689956679680,3:31 PM - 25 May 2017,Addiction is a health concern not a character flaw. @vivek_murthy #CCCHFhttp://cle.clinic/2rmJwrP,96,75,2,,https://t.co/v9oZgw9d6B,
1961,ClevelandClinic,867869809140256769,3:27 PM - 25 May 2017,It is a public health crisis. We need to change the culture and break the cycle - Chuck Rosenberg @DEAHQ,22,11,1,,,
1962,TobyCosgroveMD,867866620101705729,3:15 PM - 25 May 2017,"Ohio can help end the opioid crisis. @ClevelandClinic emphasizing non-opioid pain relief, developing uniform prescribing guidelines #CCCHF",85,37,8,,,
1963,ClevelandClinic,867866619275620352,3:15 PM - 25 May 2017,The #opioid epidemic is an opportunity for our profession to bring pain relief into the 21st century - @TobyCosgroveMD #CCCHF,51,29,7,,,
1964,TobyCosgroveMD,867863348217610240,3:02 PM - 25 May 2017,"We face historic tragedy. Ohio stands at the center of the #opioid crisis. In 2015, we saw over 2,500 overdose deaths #CCCHF",51,46,2,,,
1965,ClevelandClinic,867864604709408769,3:07 PM - 25 May 2017,Healthcare has some responsibility in the #opioid epidemic. 75% of opioid & heroin deaths begin w/prescription drugs -@TobyCosgroveMD #CCCHF,90,84,10,,,
1966,ClevelandClinic,867863939849355265,3:04 PM - 25 May 2017,We are running a few minutes late. Be live at 6:10 pm,2,0,1,,,
1967,ClevelandClinic,867860329652506624,2:50 PM - 25 May 2017,"Follow Facebook LIVE tonight @ 6pm ET. @TobyCosgroveMD, @vivek_murthy, Chuck Rosenberg @DEAHQ discuss the #opioid epidemicpic.twitter.com/HjAO27wABs",19,15,8,https://pbs.twimg.com/media/DAsTZtfXoAAWzYB.jpg,,
1968,ClevelandClinic,867832650458943488,1:00 PM - 25 May 2017,"Follow Facebook LIVE tonight @ 6pm ET. @TobyCosgroveMD, @vivek_murthy, Chuck Rosenberg @DEAHQ discuss the #opioid epidemicpic.twitter.com/FvukcXzTnK",13,8,1,https://pbs.twimg.com/media/DAsTQdrXUAIbYNV.jpg,,
1969,ClevelandClinic,867819055142416384,12:06 PM - 25 May 2017,2 symptoms of cancer MEN should never ignore. http://cle.clinic/2oxTkKy pic.twitter.com/ijyKQZ89ow,25,23,1,https://pbs.twimg.com/media/DArzl7WWsAAlQ0O.jpg,,
1970,ClevelandClinic,867802455681249282,11:00 AM - 25 May 2017,"Tune into our Facebook LIVE event tonight @ 6pm ET. @TobyCosgroveMD, @vivek_murthy, Chuck Rosenberg @DEAHQ discuss the #opioid epidemic.pic.twitter.com/m5eblwizNe",9,8,0,https://pbs.twimg.com/media/DAsLD1wXkAI6y4K.jpg,,
1971,ClevelandClinic,867787095846334464,9:59 AM - 25 May 2017,"Anyone can develop age spots, but you are more likely if...http://cle.clinic/2pVb1XI pic.twitter.com/dz9WmWtL5c",23,9,0,https://pbs.twimg.com/media/DArzBurXgAEe4Qe.jpg,,
1972,ClevelandClinic,867743058556854273,7:04 AM - 25 May 2017,Staying fit after 40. @KristinKirkpat shares 6 lifetsyle habits for you to focus on:http://on.today.com/2rRMEcl,115,83,0,,https://t.co/BkEMwCUQBz,
1973,ClevelandClinic,867717637244977152,5:23 AM - 25 May 2017,3 conditions rainy weather can make worse — and what to do about it  http://cle.clinic/2p9JLB8 pic.twitter.com/1hM3vlYlgH,32,31,0,https://pbs.twimg.com/media/DAoVSGPXYAA0UWW.jpg,,
1974,ClevelandClinic,867698763514626048,4:08 AM - 25 May 2017,"60 yrs later, Cleveland Clinic BP discovery shows new promise in helping critically ill patients
http://cle.clinic/2qXhYZa  @KhannaAshishCCF",24,13,1,,https://t.co/q93vR3uYQT,
1975,ClevelandClinic,867688699831750656,3:28 AM - 25 May 2017,Is turkey bacon any healthier than pork bacon? http://cle.clinic/2qcsiwC pic.twitter.com/IiLPGzbj7L,36,33,0,https://pbs.twimg.com/media/DAoS5dzWsAA_Ghn.jpg,,
